GEOID,Tract-Name,2019 Scores - 2010 Scores
001442200,4422.0,4
001442301,4423.01,3
001442302,4423.02,3
001442400,4424.0,3
001442500,4425.0,3
001442601,4426.01,3
001442602,4426.02,3
001442700,4427.0,3
001442800,4428.0,3
001442900,4429.0,3
001443001,4430.01,3
001443002,4430.02,3
001443102,4431.02,3
001443103,4431.03,4
001443104,4431.04,4
001443105,4431.05,4
001443200,4432.0,3
001443301,4433.01,3
001443321,4433.21,3
001443322,4433.22,3
001444100,4441.0,2
001444200,4442.0,2
001444301,4443.01,2
001444302,4443.02,3
001444400,4444.0,3
001444500,4445.0,3
001444601,4446.01,3
001444602,4446.02,3
001450101,4501.01,-1
001450102,4501.02,-1
001450200,4502.0,1
001450300,4503.0,-2
001450400,4504.0,1
001450501,4505.01,3
001450502,4505.02,4
001450601,4506.01,4
001450602,4506.02,3
001450603,4506.03,-1
001450604,4506.04,2
001450605,4506.05,2
001450606,4506.06,2
001450607,4506.07,2
001450701,4507.01,2
001450741,4507.41,1
001450742,4507.42,1
001450743,4507.43,1
001450744,4507.44,1
001450745,4507.45,0
001450746,4507.46,1
001450750,4507.5,0
001450751,4507.51,0
001450752,4507.52,1
001451101,4511.01,1
001451102,4511.02,1
001451201,4512.01,3
001451202,4512.02,1
001451300,4513.0,0
001451401,4514.01,1
001451403,4514.03,0
001451404,4514.04,2
001451501,4515.01,2
001451503,4515.03,2
001451504,4515.04,3
001451505,4515.05,3
001451506,4515.06,2
001451601,4516.01,1
001451602,4516.02,1
001451701,4517.01,1
001451703,4517.03,0
001451704,4517.04,0
001981900,9819.0,3
001982000,9820.0,3
001983200,9832.0,3
003010000,100.0,-14
005000101,1.01,-1
005000102,1.02,-4
005000200,2.0,1
005000301,3.01,1
005000303,3.03,2
005000304,3.04,3
005000401,4.01,3
005000402,4.02,3
005000500,5.0,3
007000102,1.02,2
007000103,1.03,1
007000104,1.04,2
007000201,2.01,1
007000202,2.02,2
007000300,3.0,2
007000401,4.01,2
007000402,4.02,2
007000501,5.01,2
007000502,5.02,2
007000601,6.01,2
007000603,6.03,2
007000604,6.04,2
007000700,7.0,2
007000800,8.0,2
007000901,9.01,1
007000903,9.03,2
007000904,9.04,2
007001000,10.0,2
007001100,11.0,2
007001200,12.0,2
007001300,13.0,2
007001400,14.0,2
007001500,15.0,1
007001600,16.0,2
007001702,17.02,0
007001703,17.03,1
007001704,17.04,1
007001800,18.0,0
007001900,19.0,1
007002000,20.0,0
007002100,21.0,1
007002200,22.0,0
007002300,23.0,0
007002400,24.0,0
007002500,25.0,1
007002601,26.01,1
007002602,26.02,1
007002700,27.0,-1
007002800,28.0,0
007002900,29.0,2
007003001,30.01,0
007003002,30.02,0
007003100,31.0,0
007003200,32.0,1
007003300,33.0,1
007003400,34.0,2
007003501,35.01,1
007003502,35.02,1
007003600,36.0,1
007003700,37.0,0
009000120,1.2,2
009000121,1.21,2
009000122,1.22,1
009000210,2.1,2
009000220,2.2,1
009000300,3.0,1
009000400,4.0,0
009000501,5.01,-1
009000503,5.03,-2
009000504,5.04,-3
011000100,1.0,-1
011000200,2.0,-1
011000300,3.0,-3
011000400,4.0,-2
011000500,5.0,-1
013301000,3010.0,2
013302005,3020.05,3
013302006,3020.06,2
013302007,3020.07,1
013302008,3020.08,0
013302009,3020.09,3
013302010,3020.1,3
013303102,3031.02,2
013303103,3031.03,1
013303201,3032.01,2
013303202,3032.02,1
013303203,3032.03,1
013303204,3032.04,1
013303205,3032.05,1
013304001,3040.01,2
013304002,3040.02,2
013304003,3040.03,2
013304004,3040.04,2
013304005,3040.05,1
013305000,3050.0,3
013306002,3060.02,5
013306003,3060.03,3
013306004,3060.04,3
013307101,3071.01,2
013307102,3071.02,2
013307201,3072.01,2
013307202,3072.02,3
013307204,3072.04,3
013307205,3072.05,3
013308001,3080.01,3
013308002,3080.02,5
013309000,3090.0,2
013310000,3100.0,3
013311000,3110.0,3
013312000,3120.0,2
013313101,3131.01,2
013313102,3131.02,2
013313103,3131.03,2
013313203,3132.03,3
013313204,3132.04,2
013313205,3132.05,2
013313206,3132.06,3
013314102,3141.02,3
013314103,3141.03,3
013314104,3141.04,3
013314200,3142.0,3
013315000,3150.0,3
013316000,3160.0,0
013317000,3170.0,1
013318000,3180.0,0
013319000,3190.0,1
013320001,3200.01,2
013320003,3200.03,2
013320004,3200.04,4
013321101,3211.01,1
013321102,3211.02,3
013321103,3211.03,2
013321200,3212.0,4
013322000,3220.0,4
013323000,3230.0,3
013324001,3240.01,4
013324002,3240.02,4
013325000,3250.0,4
013326000,3260.0,4
013327000,3270.0,5
013328000,3280.0,5
013329000,3290.0,4
013330000,3300.0,5
013331000,3310.0,4
013332000,3320.0,3
013333101,3331.01,2
013333102,3331.02,2
013333200,3332.0,2
013334001,3340.01,4
013334004,3340.04,3
013334006,3340.06,2
013334200,3342.0,4
013335000,3350.0,4
013336101,3361.01,4
013336102,3361.02,4
013336201,3362.01,5
013336202,3362.02,4
013337100,3371.0,4
013337200,3372.0,4
013337300,3373.0,4
013338101,3381.01,5
013338102,3381.02,4
013338201,3382.01,4
013338203,3382.03,4
013338204,3382.04,3
013338301,3383.01,4
013338302,3383.02,3
013339001,3390.01,4
013339002,3390.02,4
013340001,3400.01,4
013340002,3400.02,4
013341000,3410.0,4
013343001,3430.01,4
013343002,3430.02,4
013343003,3430.03,4
013345101,3451.01,6
013345102,3451.02,6
013345103,3451.03,4
013345105,3451.05,6
013345108,3451.08,6
013345111,3451.11,7
013345112,3451.12,7
013345113,3451.13,5
013345114,3451.14,5
013345115,3451.15,6
013345116,3451.16,5
013345202,3452.02,5
013345203,3452.03,6
013345204,3452.04,5
013346101,3461.01,4
013346102,3461.02,5
013346201,3462.01,5
013346203,3462.03,5
013346204,3462.04,4
013347000,3470.0,2
013348000,3480.0,2
013349000,3490.0,4
013350000,3500.0,2
013351101,3511.01,4
013351102,3511.02,4
013351103,3511.03,4
013351200,3512.0,4
013352101,3521.01,4
013352102,3521.02,4
013352201,3522.01,4
013352202,3522.02,4
013353001,3530.01,3
013353002,3530.02,3
013354001,3540.01,3
013354002,3540.02,3
013355107,3551.07,2
013355108,3551.08,2
013355109,3551.09,5
013355110,3551.1,3
013355111,3551.11,3
013355112,3551.12,2
013355113,3551.13,4
013355114,3551.14,5
013355115,3551.15,4
013355116,3551.16,2
013355117,3551.17,3
013355200,3552.0,3
013355301,3553.01,3
013355302,3553.02,4
013355304,3553.04,2
013355306,3553.06,2
013356001,3560.01,2
013356002,3560.02,2
013357000,3570.0,1
013358000,3580.0,2
013359102,3591.02,4
013359103,3591.03,3
013359104,3591.04,3
013359105,3591.05,3
013359202,3592.02,3
013359203,3592.03,3
013359204,3592.04,3
013360101,3601.01,4
013360102,3601.02,3
013360200,3602.0,4
013361000,3610.0,5
013362000,3620.0,5
013363000,3630.0,5
013364002,3640.02,5
013365002,3650.02,20
013365003,3650.03,8
013366001,3660.01,11
013366002,3660.02,18
013367100,3671.0,8
