GEOID,Tract-Name,2019 Scores - 2010 Scores
001437500,4375.0,25.0
001437600,4376.0,33.0
001437701,4377.01,5.0
001437702,4377.02,0.0
001437800,4378.0,0.0
001437900,4379.0,63.0
001438000,4380.0,-42.0
001438100,4381.0,-35.0
001438201,4382.01,-20.0
001438203,4382.03,-10.0
001438204,4382.04,-48.0
001438300,4383.0,2.0
001438400,4384.0,-68.0
001440100,4401.0,19.0
001440200,4402.0,-10.0
001440301,4403.01,31.0
001440304,4403.04,-45.0
001440305,4403.05,10.0
001440306,4403.06,-3.0
001440307,4403.07,32.0
001440308,4403.08,49.0
001440331,4403.31,-23.0
001440332,4403.32,-39.0
001440333,4403.33,35.0
001440334,4403.34,40.0
001440335,4403.35,-20.0
001440336,4403.36,-5.0
001441100,4411.0,71.0
001441200,4412.0,32.0
001441301,4413.01,-19.0
001441302,4413.02,-13.0
001441401,4414.01,25.0
001441402,4414.02,12.0
001441501,4415.01,7.0
001441503,4415.03,-43.0
001441521,4415.21,-19.0
001441522,4415.22,17.0
001441523,4415.23,-31.0
001441524,4415.24,-25.0
001441601,4416.01,-10.0
001441602,4416.02,-7.0
001441700,4417.0,-12.0
001441800,4418.0,21.0
001441921,4419.21,-21.0
001441923,4419.23,-30.0
001441924,4419.24,23.0
001441925,4419.25,-5.0
001441926,4419.26,6.0
001441927,4419.27,44.0
001442000,4420.0,-54.0
001442100,4421.0,18.0
001442200,4422.0,17.0
001442301,4423.01,-14.0
001442302,4423.02,27.0
001442400,4424.0,10.0
001442500,4425.0,22.0
001442601,4426.01,43.0
001442602,4426.02,-29.0
001442700,4427.0,-60.0
001442800,4428.0,21.0
001442900,4429.0,-31.0
001443001,4430.01,3.0
001443002,4430.02,-16.0
001443102,4431.02,-21.0
001443103,4431.03,-32.0
001443104,4431.04,33.0
001443105,4431.05,-3.0
001443200,4432.0,-64.0
001443301,4433.01,-6.0
001443321,4433.21,-7.0
001443322,4433.22,19.0
001444100,4441.0,0.0
001444200,4442.0,-32.0
001444301,4443.01,-35.0
001444302,4443.02,-36.0
001444400,4444.0,-15.0
001444500,4445.0,-67.0
001444601,4446.01,-9.0
001444602,4446.02,-41.0
001450101,4501.01,-44.0
001450102,4501.02,-27.0
001450200,4502.0,16.0
001450300,4503.0,-19.0
001450400,4504.0,-9.0
001450501,4505.01,15.0
001450502,4505.02,-13.0
001450601,4506.01,-41.0
001450602,4506.02,55.0
001450603,4506.03,30.0
001450604,4506.04,13.0
001450605,4506.05,7.0
001450606,4506.06,-9.0
001450607,4506.07,3.0
001450701,4507.01,-28.0
001450741,4507.41,12.0
001450742,4507.42,-22.0
001450743,4507.43,35.0
001450744,4507.44,-31.0
001450745,4507.45,4.0
001450746,4507.46,0.0
001450750,4507.5,-36.0
001450751,4507.51,14.0
001450752,4507.52,7.0
001451101,4511.01,-10.0
001451102,4511.02,12.0
001451201,4512.01,10.0
001451202,4512.02,-33.0
001451300,4513.0,-27.0
001451401,4514.01,-7.0
001451403,4514.03,72.0
001451404,4514.04,29.0
001451501,4515.01,-18.0
001451503,4515.03,-63.0
001451504,4515.04,35.0
001451505,4515.05,-18.0
001451506,4515.06,-34.0
001451601,4516.01,-1.0
001451602,4516.02,10.0
001451701,4517.01,-14.0
001451703,4517.03,-13.0
001451704,4517.04,-42.0
001981900,9819.0,0.0
001982000,9820.0,0.0
001983200,9832.0,0.0
003010000,100.0,-38.0
005000101,1.01,-100.0
005000102,1.02,-100.0
005000200,2.0,-17.0
005000301,3.01,-25.0
005000303,3.03,-1.0
005000304,3.04,33.0
005000401,4.01,-11.0
005000402,4.02,-80.0
005000500,5.0,46.0
007000102,1.02,-25.0
007000103,1.03,-39.0
007000104,1.04,-100.0
007000201,2.01,-7.0
007000202,2.02,-54.0
007000300,3.0,-17.0
007000401,4.01,0.0
007000402,4.02,-46.0
007000501,5.01,-11.0
007000502,5.02,-54.0
007000601,6.01,36.0
007000603,6.03,-79.0
007000604,6.04,-41.0
007000700,7.0,90.0
007000800,8.0,45.0
007000901,9.01,-51.0
007000903,9.03,-10.0
007000904,9.04,-3.0
007001000,10.0,-14.0
007001100,11.0,-100.0
007001200,12.0,-16.0
007001300,13.0,-21.0
007001400,14.0,66.0
007001500,15.0,-55.0
007001600,16.0,61.0
007001702,17.02,49.0
007001703,17.03,11.0
007001704,17.04,28.0
007001800,18.0,-36.0
007001900,19.0,82.0
007002000,20.0,57.0
